service_request_key,created_date,request_type,description,request_type_code,status_code,intake_form,days_to_complete,sla_fy_2019,on_time_indicator,completed_at,due_at,ispublic,council_district,loc
15492239,06/02/2024 08:56:21 PM,Potholes,"Looks like the pothole has been filled at some point. But with the mounding around the perimeter and the depression still present, it gives a decent thump when run over directly.",EMERGENCY,O-NEW,Iframe,,5,N/A,,06/13/2024 08:56:21 PM,yes,7,POINT (-85.329666847 34.996522903)
15492211,06/02/2024 08:36:59 PM,Potholes,Was poorly patched before but the patch only lasted weeks. Nothing is left of the previous patch.,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/13/2024 08:36:59 PM,yes,3,POINT (-85.238203112 35.155935598)
15491493,06/02/2024 03:40:32 PM,Potholes,"MULTIPLE deep potholes around 3100 Old Ringgold  road, close to where it intersects with East View Drive",EMERGENCY,O-NEW,Iframe,,5,N/A,,06/13/2024 03:40:32 PM,yes,9,POINT (-85.269464456 35.009169734)
15490880,06/02/2024 11:43:52 AM,Potholes,"Davidson Rd between Lindsay Ave and Julian Rd is extremely narrow, (needs to be widened and repaved like the rest of Davidson Rd was!) has depressions in pavement, and increasing potholes due to construction trucks.",EMERGENCY,O-NEW,Iframe,,5,N/A,,06/13/2024 11:43:52 AM,yes,4,POINT (-85.15231804 34.997039356)
15489498,06/01/2024 04:53:10 PM,Potholes,Hole in the road,EMERGENCY,O-NEW,iOS,,5,N/A,,06/13/2024 04:53:10 PM,yes,4,POINT (-85.148515 34.996653)
15489471,06/01/2024 04:40:31 PM,Potholes,"Asphalt around this sewer cover has collapsed on one side, leaving a impressive depression that grabs the right wheel of a transit bus.",EMERGENCY,O-NEW,iOS,,5,N/A,,06/13/2024 04:40:31 PM,yes,7,POINT (-85.311551 35.003547)
15488345,06/01/2024 10:42:51 AM,Potholes,I reported this issue before and city sent someone to fix it but they fixed a little part of it and left the remaining,EMERGENCY,O-NEW,Android,,5,N/A,,06/13/2024 10:42:51 AM,yes,7,POINT (-85.325189556 34.992572229)
15486456,05/31/2024 06:14:23 PM,Potholes,Potholes all along E 3rd in front of Orchard Knob Baptist church all along this road. Please repair. Causing damage to vehicles.,EMERGENCY,O-NEW,iOS,,5,N/A,,06/12/2024 06:14:23 PM,no,8,
15485659,05/31/2024 03:53:26 PM,Distressed Pavement,caller states he has put several request in to have both sides of Elmwood be paved. he states with the new home and apartments that he been built more traffic is driving on the street making the condition of the street worse.,EMERGENCY,O-NEW,gov.publicstuff.com,,20,N/A,,06/04/2024 03:53:26 PM,yes,1,POINT (-85.327791826 35.067282431)
15484827,05/31/2024 01:57:08 PM,Potholes,There are several potholes in street.,EMERGENCY,O-NEW,gov.publicstuff.com,,5,N/A,,06/12/2024 01:57:08 PM,yes,8,POINT (-85.257141543 35.077281102)
