id,name,type,github,size_csv,size_zip,url
gfmi-e2jm,OCHS Events,dataset,True,45.69,5.75,https://internal.chattadata.org/api/views/gfmi-e2jm/rows.csv?accessType=DOWNLOAD
nejd-62ty,Public 311 Odor Complaints,filter,True,0.28,0.04,https://internal.chattadata.org/api/views/nejd-62ty/rows.csv?accessType=DOWNLOAD
rave-tp8x,Pedestrian Incidents from Vehicle Incidents,filter,True,0.17,0.03,https://internal.chattadata.org/api/views/rave-tp8x/rows.csv?accessType=DOWNLOAD
tqjy-2yx2,County Health Rankings 2023,dataset,True,0.07,0.03,https://internal.chattadata.org/api/views/tqjy-2yx2/rows.csv?accessType=DOWNLOAD
3sp5-63hh,Chattanooga Vacant Parcels,filter,True,9.85,2.38,https://internal.chattadata.org/api/views/3sp5-63hh/rows.csv?accessType=DOWNLOAD
7iks-gmi9,Air Quality Monitors,dataset,False,539.7,101.84,https://internal.chattadata.org/api/views/7iks-gmi9/rows.csv?accessType=DOWNLOAD
uwtt-ptgf,Public Library In-House Use Year to Year,dataset,True,0.01,0.0,https://internal.chattadata.org/api/views/uwtt-ptgf/rows.csv?accessType=DOWNLOAD
x6i8-rstq,Public Library Circulation Year to Year,dataset,True,0.01,0.0,https://internal.chattadata.org/api/views/x6i8-rstq/rows.csv?accessType=DOWNLOAD
b3de-5ta3,Public Library Items Owned,dataset,True,0.02,0.0,https://internal.chattadata.org/api/views/b3de-5ta3/rows.csv?accessType=DOWNLOAD
tb7t-h85x,Public Library Website,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/tb7t-h85x/rows.csv?accessType=DOWNLOAD
scen-y53z,Public Library Borrower Demographic,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/scen-y53z/rows.csv?accessType=DOWNLOAD
wd6c-k3hv,Public Library In-House Use by Branch,dataset,True,0.03,0.0,https://internal.chattadata.org/api/views/wd6c-k3hv/rows.csv?accessType=DOWNLOAD
g2gk-49x3,Public Library Programming by Branch,dataset,True,0.01,0.0,https://internal.chattadata.org/api/views/g2gk-49x3/rows.csv?accessType=DOWNLOAD
32qn-8zx7,Public Library Circulation by Branch,dataset,True,0.04,0.0,https://internal.chattadata.org/api/views/32qn-8zx7/rows.csv?accessType=DOWNLOAD
5t2x-jnde,Current City Council Districts,dataset,True,1.67,0.62,https://internal.chattadata.org/api/views/5t2x-jnde/rows.csv?accessType=DOWNLOAD
3gj8-3ijm,TN Child Care,dataset,True,0.41,0.07,https://internal.chattadata.org/api/views/3gj8-3ijm/rows.csv?accessType=DOWNLOAD
6yym-j4ji,Chattanooga Redistricting - New Districts,dataset,True,0.55,0.15,https://internal.chattadata.org/api/views/6yym-j4ji/rows.csv?accessType=DOWNLOAD
gmm6-4z4q,Property Tax and Water Quality Fees,filter,True,212.03,43.94,https://internal.chattadata.org/api/views/gmm6-4z4q/rows.csv?accessType=DOWNLOAD
ki68-5ydk,Fleet Work Orders,filter,True,83.47,14.39,https://internal.chattadata.org/api/views/ki68-5ydk/rows.csv?accessType=DOWNLOAD
fkhr-7vhi,Census 2020 Block Populations by City Council District,dataset,True,3.9,1.06,https://internal.chattadata.org/api/views/fkhr-7vhi/rows.csv?accessType=DOWNLOAD
b2ve-phfq,Census 2020 Block Populations - Hamilton County Only,filter,True,8.76,2.44,https://internal.chattadata.org/api/views/b2ve-phfq/rows.csv?accessType=DOWNLOAD
8xgj-4yp7,Census 2020 Places Populations,dataset,True,9.3,2.47,https://internal.chattadata.org/api/views/8xgj-4yp7/rows.csv?accessType=DOWNLOAD
pikg-56jb,Census 2020 Tract Populations,dataset,True,30.81,8.33,https://internal.chattadata.org/api/views/pikg-56jb/rows.csv?accessType=DOWNLOAD
n92z-qpyq,Census 2020 Block Group Populations,dataset,True,49.95,13.54,https://internal.chattadata.org/api/views/n92z-qpyq/rows.csv?accessType=DOWNLOAD
